time,pedal,velocity,acceleration
0,0,-2.94266659119438e-09,-3.07326776055096e-07
0.05,0.000231151519821243,-2.27641502209229e-08,-2.07011546814063e-06
0.1,0.000583382407167898,2.09292414036513e-08,4.5632605796532e-06
0.15,0.000803526711759558,-3.6351225814185e-07,-4.01502598511311e-05
0.2,0.00113374316864705,-6.35355657591124e-06,-0.000625590076799093
0.25,0.00137039829608308,-5.43946512348043e-05,-0.00501730891944006
0.3,0.00170061475297057,-0.000407487072596568,-0.0368762573091281
0.35,0.00195378070325098,-0.00184563698053148,-0.150197952835585
0.4,0.00227849355252368,4.7330112442605e-05,0.197697244308747
0.45,0.00251514867995971,0.00171912323403178,0.174598400033383
0.5,0.00286187595969158,0.00413064252441473,0.251856514187055
0.55,0.00310953830235719,0.000213690228447946,-0.409079923566037
0.6,0.00344525836685948,-0.00321046445421884,-0.35761218631387
0.65,0.00368191349429551,-0.00228171584018966,0.096996715565161
0.7,0.00402313716641258,-0.00176447319790498,0.0540196509701167
0.75,0.00424328147100424,-0.00142053600860384,0.0359204850322619
0.8,0.00457900153550652,-0.000485354492210261,0.0976683816203791
0.85,0.00483216748578693,0.000946595589532882,0.149550281063468
0.9,0.00516238394267442,0.0033471403218449,0.250708961516995
0.95,0.00541554989295483,0.00523638918393373,0.197307771887394
1,0.0057567735650719,-0.000635861765851677,-0.613285182486955
1.05,0.00597691786966356,0.00126067905078064,0.1980710682846
1.1,0.00631814154178064,0.00280384309312059,0.16116507892902
1.15,0.00656580388444625,0.00528846506021689,0.259489478159117
1.2,0.00689051673371895,0.00237385085122748,-0.304397039314111
1.25,0.00713817907638457,-0.00160734656096107,-0.415787890537385
1.3,0.00747389914088685,-0.00123573990030999,0.038810057429795
1.35,0.00771605787593768,-0.00045136199726302,0.0819187428386628
1.4,0.00804627433282517,-0.000488444416327319,-0.0038726425182174
1.45,0.00829944028310558,-0.000333375509021713,0.0161949761535078
1.5,0.00862965673999306,-4.13963260535875e-05,0.0304937780041973
1.55,0.0088663118674291,0.000378042892675082,0.0438053889768873
1.6,0.00920753553954617,0.00109412281782433,0.0747861813793931
1.65,0.00948821952790054,0.0022513093886412,0.120854335575698
1.7,0.0097744071238697,0.0040932504470068,0.192368079257638
1.75,0.0100110622513057,0.006536821040785,0.255203542808061
1.8,0.0103412787081932,0.00229276698043159,-0.443240480094308
1.85,0.0105944446584736,-0.000306255431507237,-0.271436196940903
1.9,0.0109191575077463,0.00152199739620619,0.190938854568564
1.95,0.0111778270656415,0.00220469415411662,0.0712997077218124
2,0.0114970363072994,0.0040920517695476,0.19711129696055
2.05,0.0117446986499651,0.00636091512364691,0.236957455354116
2.1,0.0120749151068525,0.00305316800463489,-0.345455082875906
2.15,0.0123170738419034,-0.000619982619176842,-0.383616425303884
2.2,0.0126417866911761,0.00150492623139136,0.221921037944003
2.25,0.0128894490338417,0.00223512724294195,0.0762607865604195
2.3,0.013225169098344,0.00420975523672215,0.206225647106689
2.35,0.0134673278333948,0.00657621091395827,0.247151548239811
2.4,0.0138030478978971,0.00301893910385541,-0.371516699499424
2.45,0.0140397030253331,-0.000117245638978327,-0.327537612777477
2.5,0.0143699194822206,0.00197191099153933,0.218188014333976
2.55,0.0146065746096566,0.00273337417715787,0.0795255739067387
2.6,0.0149312874589293,0.00479863883515188,0.215691217918513
2.65,0.0151624389787506,0.00690371623308949,0.219850226989396
2.7,0.0154926554356381,0.00238431264171864,-0.471997106776299
2.75,0.0157293105630741,-0.000241271130852293,-0.274211187943047
2.8,0.0160705342351912,0.00149091835341673,0.180906462286377
2.85,0.016312692970242,0.0020789562183058,0.0614133675976333
2.9,0.0166484130347443,0.00369066130369492,0.168322677901091
2.95,0.0168905717697951,0.00575408465992522,0.21549995914017
3,0.0172207882266826,0.00555846715790245,-0.0204299149593923
3.05,0.0174574433541186,-0.000233822349341227,-0.604935867454189
3.1,0.0178151778490801,0.00235056987124206,0.26990960414649
3.15,0.0180298185460569,0.003639051579757,0.134566199009975
3.2,0.018371042218174,0.00641036056883905,0.289430170550669
3.25,0.01860769734561,0.0035459875936883,-0.299149593922839
3.3,0.0189489210177271,-0.00083439604969184,-0.457478826783879
3.35,0.0192075905756223,0.00120246994149788,0.212726706854193
3.4,0.019532303424895,0.00189648421241896,0.072481513100357
3.45,0.0197854693751754,0.00366885203325664,0.185101984396761
3.5,0.0200991750092185,0.00594174427548272,0.237376485950304
3.55,0.0203413337442694,0.00454948040661803,-0.145403964620603
3.6,0.0206770538087716,-0.00045586369705425,-0.522748492967762
3.65,0.0209357233666668,0.00215589466288861,0.272766314808472
3.7,0.0212549326083248,0.00327883568462796,0.117277970292296
3.75,0.02151360216622,0.0060481601965831,0.289221524610658
3.8,0.0218273078002631,0.00482447699371693,-0.127797724716024
3.85,0.0220749701429287,-0.000137318158964609,-0.518200011475527
3.9,0.022410690207431,-0.000482627500990574,-0.036063581372786
3.95,0.0226528489424818,0.000424674775497701,0.0947570752707616
4,0.0229830653993693,0.000701009885759379,0.0288597325506792
4.05,0.0232362313496497,0.00136883971351609,0.0697470341848986
4.1,0.0235884622369964,0.0022275123114164,0.0896781114760483
4.15,0.0237920957187436,0.0035940345818447,0.142715213940331
4.2,0.0241278157832459,0.00558447179944794,0.207879166181275
4.25,0.0243754781259115,0.00694896630717442,0.14250656800032
4.3,0.0247111981904138,0.000732022335356657,-0.649287039435821
4.35,0.0249478533178498,0.00284038943698786,0.220194492790413
4.4,0.0252835733823521,0.0043075140428394,0.153223318965742
4.45,0.0255312357250177,0.00667210511069453,0.246955073312967
