time,pedal,velocity,acceleration
0,0.00169277791348501,0.00256137939439681,0.0162676117292427
0.05,0.00340630550977206,0.00517151869324539,0.0324484419693856
0.1,0.00514767656985687,0.00783183371994114,0.0488665519330374
0.15,0.00687001501566356,0.0105419343627353,0.0652252234037248
0.2,0.00690407005214459,0.010739344191251,0.065137666924647
0.25,0.00695142585306138,0.0109377584901952,0.0653170378823071
0.3,0.00696356319801221,0.01113614535328,0.0653270360328419
0.35,0.00698488431174226,0.0113336724402142,0.0651976086289381
0.4,0.00703170456614823,0.0115317996507425,0.0653085959716911
0.45,0.00705330596285206,0.0117304400320755,0.0654065009820453
0.5,0.00706451793587475,0.0119283053126607,0.0652906293167516
0.55,0.00710324656623751,0.0121261808918059,0.0653030741690783
0.6,0.00713513561704727,0.0123248585879824,0.0654472639289887
0.65,0.00714301551994834,0.0125230864683807,0.0653845743094013
0.7,0.00717110437284378,0.0127208159563185,0.0653121552857532
0.75,0.00721034870730652,0.0129193000705393,0.0654470533407004
0.8,0.00722271518510882,0.0131178397843012,0.0654670702898162
0.85,0.00723974246971126,0.0133156838644998,0.0653616368520464
0.9,0.00727811102571813,0.0135139088644178,0.0654336363328263
0.95,0.00729915406133185,0.0137126312837919,0.0655257704852187
1,0.00730844196615627,0.0139107721394594,0.0654389652405163
1.05,0.00733938320390441,0.0141087813525859,0.0654254613278598
1.1,0.00736935831906456,0.0143074585444134,0.0655447601161498
1.15,0.00737811796384288,0.0145059026726671,0.0655151767587061
1.2,0.00739951058470619,0.0147038425728016,0.0654395807992264
1.25,0.0074340827821523,0.014902300496528,0.0655330460904795
1.3,0.007448793852258,0.0151009806086552,0.0655781734995134
1.35,0.00746118619943531,0.0152990985255518,0.0654928164552535
1.4,0.00749235892202252,0.0154973367301555,0.0655197917625914
1.45,0.00751513857580355,0.0156960811727103,0.0656111997963384
1.5,0.00752368490630874,0.0158944637249121,0.0655587866539399
1.55,0.00754739918053725,0.0160925556882409,0.065517280994425
1.6,0.00757678538490372,0.0162911589634613,0.0656087068400647
1.65,0.00758829732169358,0.0164897798209793,0.0656187427894468
1.7,0.00760359997174425,0.0166879310147532,0.0655473996395922
1.75,0.00763318655026506,0.0168863309484076,0.0655947148704122
1.8,0.00765128263672868,0.0170850716085683,0.065657728554128
1.85,0.00766121235081637,0.0172834293464623,0.0656006175855755
1.9,0.00768556363904352,0.0174816712379184,0.0655871272925219
1.95,0.00771014502588153,0.0176803477291689,0.0656650579882276
2,0.00772063352254331,0.0178789210270576,0.0656540428115049
2.05,0.00773791546536107,0.0180771466775928,0.0656019324779436
2.1,0.0077647929169927,0.0182756566050188,0.0656543979124656
2.15,0.00778013509588652,0.0184743663929775,0.0656932169012506
2.2,0.00779185842911085,0.0186727339760822,0.0656419116703246
2.25,0.00781559313088839,0.0188710988684559,0.0656464644376491
2.3,0.00783648912850044,0.0190697975402655,0.0657070077403522
2.35,0.00784728568297717,0.0192683450336854,0.0656871846681546
2.4,0.00786547764150999,0.0194666628308301,0.0656538952546323
2.45,0.00788930555686797,0.0196652413918537,0.0657018841059075
2.5,0.00790330062923182,0.0198639178482492,0.0657230643551626
2.55,0.00791655798713357,0.0200623234064897,0.065682832124236
2.6,0.00795813853102477,0.0203106797069117,0.0658551536354
2.65,0.00798585258811132,0.0206087001490785,0.0659789704281306
2.7,0.00801947381550421,0.0209553876699299,0.0659355960273871
2.75,0.00808681625012991,0.021351634971518,0.0660393600266095
2.8,0.00813285349053212,0.0217480706687595,0.0660707750337424
2.85,0.00817856771119725,0.0221439011044135,0.0659698610362034
2.9,0.00824437276981351,0.0225401326000043,0.0660367378430462
2.95,0.0082926794449709,0.0229369385324664,0.0661324190025525
3,0.00832698614149728,0.0233329264973195,0.0659960033775247
3.05,0.0083912312295684,0.0237292645442597,0.0660544060584921
3.1,0.0084376726026169,0.0241263194545138,0.0661738723409395
3.15,0.0084653229236524,0.024522459743388,0.0660214966985835
3.2,0.0085270722525789,0.0249189069442665,0.0660726732555143
3.25,0.00857150538623199,0.0253161181066129,0.0661999125828628
3.3,0.00859534883333084,0.0257126485709902,0.0660863983507365
3.35,0.00864659222958292,0.0261092912659725,0.0661051397563211
3.4,0.00868847952971493,0.0265067301209962,0.066237841715893
3.45,0.00870708413995791,0.0269036755483602,0.0661556069224614
3.5,0.00874765556633697,0.0273003406894634,0.0661088591637495
3.55,0.0087924782799023,0.0276977958953253,0.0662405645250652
3.6,0.00881077957798133,0.028095018996686,0.0662018256408854
3.65,0.00884304337260974,0.0284916431155682,0.0661020639883738
3.7,0.00889152275803972,0.0288890020546611,0.0662245830241171
3.75,0.00891239097015213,0.029286475449621,0.0662436694793571
3.8,0.00893616993964766,0.0296831185316053,0.0661052967301748
3.85,0.00898624431610028,0.0300803713353762,0.0662068969103576
3.9,0.0090105152905604,0.0304780583554876,0.0662792635814661
3.95,0.00902686280565485,0.0308748522715349,0.0661303498543045
4,0.00907421586084943,0.03127204092971,0.0661961272048304
4.05,0.00910176410006737,0.0316698652388114,0.0663020574869323
4.1,0.00911338117009971,0.0320668979351458,0.066170062584114
4.15,0.00915466393900434,0.0324640450873472,0.0661892084585302
4.2,0.00918555144845061,0.0328618927133243,0.0663059581905714
4.25,0.00919609410514207,0.0332591609971786,0.0662093766330196
4.3,0.00923039322102273,0.0336562694491713,0.0661827226579234
4.35,0.00926452046681903,0.0340540429642489,0.0662935212006976
4.4,0.00927699825178939,0.034451517326714,0.0662436493235985
4.45,0.00930438169198084,0.0348485936575337,0.066177282779939
